model,horizon,mse,rmse,mae,mape
direct,48,28604643.425,4862.297301453192,4512.922521972656,15.59522361597973
direct,96,30796388.2,5032.261266583913,4644.618933105468,16.147604785075366
direct,144,30124366.9,5028.563731589395,4614.975646972656,16.088256369454566
direct,192,30098829.4,5109.933411641983,4661.68134765625,16.276450725520654
direct,240,31691250.8,5307.350145704985,4828.6833984375,16.95130375372533
direct,288,32696853.1,5405.5867761919635,4933.643798828125,17.435123338139473
direct,336,34096338.4,5544.352039140032,5057.734448242188,17.891942853219003
direct,384,35578061.7,5684.492640011608,5187.1177734375,18.385540184408487
direct,432,37102338.1,5819.875271140147,5290.054125976562,18.890287440774248
direct,480,38478294.0,5943.343746897946,5390.1417236328125,19.32460581341319
direct,528,38824832.6,5994.740537652925,5424.572778320313,19.481342706627338
direct,576,38550841.2,5984.5320522223055,5426.468798828125,19.52409232762095
direct,624,39025155.4,6014.800929887357,5465.3990234375,19.677036857716455
direct,672,40086805.4,6099.286456067531,5549.03369140625,20.026963720744227
direct,720,40835135.8,6154.437132099689,5605.6973876953125,20.243542663914447
direct,768,41266984.0,6189.889543550113,5642.0025634765625,20.41725947109036
direct,816,41771602.4,6226.409328894465,5678.085302734375,20.560500547479656
direct,864,41909297.6,6244.592647930078,5693.244946289063,20.633780288309943
direct,912,42256595.8,6275.020915787513,5718.788061523437,20.734471185471754
direct,960,43013789.0,6331.036209157757,5769.00986328125,20.921186942729566
direct,1008,43568834.6,6379.908251008581,5808.2564453125,21.046166547836986
recursive,48,3331619.2408905025,1745.6457765764565,1424.4665608723958,4.700816330986497
recursive,96,4266380.562589252,2028.0210706282844,1645.9359924316407,5.589025203146652
recursive,144,5491172.611708193,2284.168919110981,1864.0985148111977,6.448245110289053
recursive,192,6538355.439477432,2424.181819282535,1962.641090901693,6.83248879794152
recursive,240,7660293.960250971,2588.7052929729207,2096.7287231445316,7.336400287953596
recursive,288,8623543.267281406,2734.596072659417,2218.9909362792973,7.867968450404712
recursive,336,9193307.511325784,2830.759425437019,2303.177484421503,8.197800453801266
recursive,384,10266528.833177041,2982.988413822311,2412.2311299641924,8.59499301246993
recursive,432,11976848.861334188,3218.8780284217705,2589.7486897786457,9.30870797504971
recursive,480,13102573.852264483,3343.904471619923,2706.517208251953,9.784415931505418
recursive,528,14149364.823748764,3442.168916638321,2806.1773330226088,10.146132836768546
recursive,576,14645898.267315555,3474.4003406057227,2846.5474772135417,10.303161768874865
recursive,624,14755214.433015823,3476.412009820591,2867.3011133438504,10.387047508094648
recursive,672,15180042.379896179,3533.8424678356814,2918.7657758440287,10.62023895354555
recursive,720,15451572.416486442,3576.762510374948,2955.6864743381075,10.765319570134535
recursive,768,15507467.264981931,3602.9102024714693,2976.904025777181,10.882752504766604
recursive,816,15439352.984300464,3609.047611796172,2976.6788732192094,10.901744710586241
recursive,864,15381879.779828638,3605.120225293586,2971.2355880172163,10.914685838412742
recursive,912,15068313.60794071,3574.567434980849,2938.6416452508224,10.817117390985029
recursive,960,14839328.654370751,3564.5017662497726,2925.361189371745,10.779851857288913
recursive,1008,14552566.83474845,3545.1244438028334,2896.365263826885,10.677094601213604
skforecast,48,3720141.3347137296,1826.440632438333,1507.338175455729,4.994842318210218
skforecast,96,4726137.188621724,2120.6463057586743,1720.712375895182,5.880065671036283
skforecast,144,5792038.148123895,2334.1829746243234,1900.851866319444,6.626969951858837
skforecast,192,6713687.472329919,2461.8865658593627,1988.4895731608074,6.9892417423997015
skforecast,240,7627610.395102645,2592.929599152234,2106.4565974934894,7.452481105079738
skforecast,288,8481209.316851098,2733.2423858193565,2222.2387925889757,7.965112162138093
skforecast,336,9021090.013014436,2835.4526987107356,2310.5028047107517,8.316404896113369
skforecast,384,10090237.560335543,3001.9926085686884,2436.089161682129,8.773931034080295
skforecast,432,11923524.786429621,3268.534318961689,2634.7204775209784,9.577461561857316
skforecast,480,13222629.83597461,3426.041334621094,2780.4816389973957,10.16342070877786
skforecast,528,14407012.875807181,3552.3941780958203,2903.914613665957,10.620619215844016
skforecast,576,15003980.115051374,3603.010321377699,2966.4362901475693,10.865832142912613
skforecast,624,15234410.043595608,3623.0969802089917,3006.078083996895,11.024160572522652
skforecast,672,15768213.688688299,3693.9781086729768,3073.352582077753,11.324278028833065
skforecast,720,16133541.914707208,3746.2101271230613,3121.7369414605037,11.52363426658888
skforecast,768,16364772.502247041,3788.864650185324,3159.7421325683595,11.72019169660473
skforecast,816,16426676.076084733,3801.708153411332,3168.9065508674175,11.787161874655995
skforecast,864,16510963.032954654,3809.0548476679396,3177.8563456217444,11.86016953381455
skforecast,912,16364774.842661506,3797.986955709318,3165.0437714158443,11.837723210347516
skforecast,960,16349272.694957072,3813.050874867941,3176.217112019857,11.889323346198948
skforecast,1008,16193973.287629887,3812.803910313509,3167.712486436632,11.862308456158413
